id,timestamp,player_id,aim_offset_x,aim_offset_y,hit_x,hit_y,hit_z
148,2025-07-23T13:34:27.110704,BP_TelemetryFPS4Character_C_0,-63.26,-164.0,-3593.52,636.61,304.44
149,2025-07-23T13:34:27.580183,BP_TelemetryFPS4Character_C_0,-66.08,-171.68,-3620.16,651.4,303.99
150,2025-07-23T13:34:27.782113,BP_TelemetryFPS4Character_C_0,-70.28,-173.31,-3676.55,644.9,168.25
151,2025-07-23T13:34:28.217576,BP_TelemetryFPS4Character_C_0,-60.24,-174.25,-3609.59,652.65,302.13
152,2025-07-23T13:34:28.418748,BP_TelemetryFPS4Character_C_0,-54.24,-173.98,-3606.1,653.05,289.52
153,2025-07-23T13:34:28.653569,BP_TelemetryFPS4Character_C_0,-66.07,-174.52,-3620.15,651.61,304.01
154,2025-07-23T13:34:29.088636,BP_TelemetryFPS4Character_C_0,-65.1,102.57,-3546.02,750.43,304.58
155,2025-07-23T13:34:29.290322,BP_TelemetryFPS4Character_C_0,-63.24,106.02,-3545.13,746.89,304.48
156,2025-07-23T13:34:30.162665,BP_TelemetryFPS4Character_C_0,-66.98,-176.04,-3591.02,654.87,302.89
157,2025-07-23T13:34:30.363105,BP_TelemetryFPS4Character_C_0,-62.58,110.83,-3541.03,744.11,304.17
158,2025-07-23T13:34:30.799201,BP_TelemetryFPS4Character_C_0,-62.58,110.83,-3541.03,744.11,304.17
159,2025-07-23T13:34:31.035414,BP_TelemetryFPS4Character_C_0,-62.58,110.83,-3541.03,744.11,304.17
160,2025-07-23T13:34:31.236213,BP_TelemetryFPS4Character_C_0,-64.48,83.58,-3499.66,745.64,304.64
161,2025-07-23T13:34:31.436593,BP_TelemetryFPS4Character_C_0,-64.48,83.58,-3499.66,745.64,304.64
162,2025-07-23T13:34:31.841413,BP_TelemetryFPS4Character_C_0,-64.48,83.58,-3499.66,745.64,304.64
163,2025-07-23T13:34:32.042472,BP_TelemetryFPS4Character_C_0,-64.48,83.58,-3499.66,745.64,304.64
164,2025-07-23T13:34:32.276743,BP_TelemetryFPS4Character_C_0,-64.48,83.58,-3499.66,745.64,304.64
165,2025-07-23T13:34:32.713860,BP_TelemetryFPS4Character_C_0,-61.94,154.1,-3591.03,700.24,303.72
166,2025-07-23T13:34:32.948824,BP_TelemetryFPS4Character_C_0,-61.94,154.1,-3591.03,700.24,303.72
167,2025-07-23T13:34:33.182885,BP_TelemetryFPS4Character_C_0,-61.94,154.1,-3591.03,700.24,303.72
168,2025-07-23T13:34:33.419015,BP_TelemetryFPS4Character_C_0,-61.94,154.1,-3591.03,700.24,303.72
169,2025-07-23T13:34:33.853016,BP_TelemetryFPS4Character_C_0,-61.94,154.1,-3591.03,700.24,303.72
170,2025-07-23T13:34:34.087406,BP_TelemetryFPS4Character_C_0,-65.77,126.31,-3558.7,727.83,304.23
171,2025-07-23T13:34:34.290443,BP_TelemetryFPS4Character_C_0,-65.77,126.31,-3558.7,727.83,304.23
172,2025-07-23T13:34:34.526917,BP_TelemetryFPS4Character_C_0,-65.77,126.31,-3558.7,727.83,304.23
173,2025-07-23T13:34:34.728512,BP_TelemetryFPS4Character_C_0,-65.77,126.31,-3558.7,727.83,304.23
174,2025-07-23T13:34:34.964500,BP_TelemetryFPS4Character_C_0,-65.77,126.31,-3558.7,727.83,304.23
175,2025-07-23T13:34:35.165034,BP_TelemetryFPS4Character_C_0,-63.7,174.1,-3595.89,669.49,304.57
176,2025-07-23T13:34:35.400402,BP_TelemetryFPS4Character_C_0,-63.7,174.1,-3595.89,669.49,304.57
177,2025-07-23T13:34:35.836285,BP_TelemetryFPS4Character_C_0,-63.7,174.1,-3595.89,669.49,304.57
178,2025-07-23T13:34:36.037697,BP_TelemetryFPS4Character_C_0,-66.41,174.1,-3601.64,670.08,303.67
179,2025-07-23T13:34:36.272704,BP_TelemetryFPS4Character_C_0,-71.14,78.38,-3481.88,812.92,167.39
180,2025-07-23T13:34:36.707519,BP_TelemetryFPS4Character_C_0,-69.4,67.42,-3469.77,812.04,163.75
181,2025-07-23T13:34:36.941407,BP_TelemetryFPS4Character_C_0,-59.78,55.43,-3498.09,747.75,301.59
182,2025-07-23T13:34:37.142553,BP_TelemetryFPS4Character_C_0,-43.19,141.78,-3596.44,728.96,271.08
183,2025-07-23T13:34:37.344779,BP_TelemetryFPS4Character_C_0,-52.42,155.15,-3598.21,733.13,284.4
184,2025-07-23T13:34:37.580910,BP_TelemetryFPS4Character_C_0,-64.66,155.16,-3607.79,737.57,304.63
185,2025-07-23T13:34:37.781561,BP_TelemetryFPS4Character_C_0,-64.73,155.16,-3607.92,737.63,304.62
186,2025-07-23T13:34:38.048939,BP_TelemetryFPS4Character_C_0,-63.44,155.16,-3605.63,736.57,304.5
187,2025-07-23T13:34:38.250332,BP_TelemetryFPS4Character_C_0,-49.11,88.59,-3556.06,772.91,277.33
188,2025-07-23T13:34:38.687846,BP_TelemetryFPS4Character_C_0,-62.01,-157.07,-3629.64,675.16,303.78
189,2025-07-23T13:34:38.922618,BP_TelemetryFPS4Character_C_0,-64.82,-157.65,-3634.45,673.14,304.6
190,2025-07-23T13:34:39.357274,BP_TelemetryFPS4Character_C_0,-42.93,81.83,-3557.78,768.7,271.19
191,2025-07-23T13:34:39.558082,BP_TelemetryFPS4Character_C_0,-57.79,-148.06,-3625.26,678.59,298.65
192,2025-07-23T13:34:39.792784,BP_TelemetryFPS4Character_C_0,-64.22,82.22,-3555.8,782.5,304.64
193,2025-07-23T13:34:40.229798,BP_TelemetryFPS4Character_C_0,-47.77,39.22,-3502.8,746.45,276.93
194,2025-07-23T13:34:40.430666,BP_TelemetryFPS4Character_C_0,-39.77,40.65,-3506.18,743.18,268.47
195,2025-07-23T13:34:40.665696,BP_TelemetryFPS4Character_C_0,-37.99,45.9,-3504.87,742.44,265.69
196,2025-07-23T13:34:40.899646,BP_TelemetryFPS4Character_C_0,-34.31,62.18,-3500.24,741.91,259.67
197,2025-07-23T13:34:41.100580,BP_TelemetryFPS4Character_C_0,-57.85,93.82,-3550.95,742.52,298.7
198,2025-07-23T13:34:41.336213,BP_TelemetryFPS4Character_C_0,-60.82,171.63,-3627.55,672.88,302.75
199,2025-07-23T13:34:41.538751,BP_TelemetryFPS4Character_C_0,-54.37,175.6,-3623.15,672.93,289.93
200,2025-07-23T13:34:41.740478,BP_TelemetryFPS4Character_C_0,-38.62,-168.09,-3605.0,653.28,265.43
201,2025-07-23T13:34:41.976517,BP_TelemetryFPS4Character_C_0,-37.91,100.73,-3548.93,737.79,264.53
