id,timestamp,player_id,aim_offset_x,aim_offset_y,hit_x,hit_y,hit_z,aimbot
109,2025-07-08T18:01:07.162683,BP_TelemetryFPS4Character_C_0,-25.79,35.12,-2207.33,19.32,252.51,1
110,2025-07-08T18:01:07.398278,BP_TelemetryFPS4Character_C_0,-32.41,73.69,-2321.31,47.73,256.74,1
111,2025-07-08T18:01:07.599624,BP_TelemetryFPS4Character_C_0,-9.64,-11.31,-1903.32,-181.59,252.88,1
112,2025-07-08T18:01:07.802001,BP_TelemetryFPS4Character_C_0,-25.38,89.85,-2365.31,90.81,252.28,1
113,2025-07-08T18:01:08.036928,BP_TelemetryFPS4Character_C_0,-9.03,-11.23,-1855.29,-191.5,243.55,1
114,2025-07-08T18:01:08.239916,BP_TelemetryFPS4Character_C_0,-24.58,88.94,-2367.03,84.59,251.82,1
115,2025-07-08T18:01:08.473122,BP_TelemetryFPS4Character_C_0,-8.4,-11.15,-1860.07,-190.8,243.27,1
116,2025-07-08T18:01:08.674934,BP_TelemetryFPS4Character_C_0,-23.71,87.86,-2368.47,77.8,251.32,1
117,2025-07-08T18:01:08.877396,BP_TelemetryFPS4Character_C_0,-7.72,-11.06,-1865.58,-189.92,242.98,1
118,2025-07-08T18:01:09.111994,BP_TelemetryFPS4Character_C_0,-22.71,86.58,-2369.78,70.19,250.75,1
119,2025-07-08T18:01:09.312465,BP_TelemetryFPS4Character_C_0,-7.04,-10.97,-1871.47,-188.91,242.69,1
120,2025-07-08T18:01:09.514015,BP_TelemetryFPS4Character_C_0,-21.51,85.17,-2370.89,63.15,250.06,1
121,2025-07-08T18:01:09.716815,BP_TelemetryFPS4Character_C_0,-15.58,86.04,-2373.26,122.5,246.76,1
122,2025-07-08T18:01:09.916472,BP_TelemetryFPS4Character_C_0,-16.27,85.43,-2374.01,112.13,247.13,1
123,2025-07-08T18:01:10.150562,BP_TelemetryFPS4Character_C_0,-16.93,85.2,-2374.68,103.17,247.48,1
124,2025-07-08T18:01:10.352947,BP_TelemetryFPS4Character_C_0,-17.69,85.18,-2375.43,93.68,247.9,1
125,2025-07-08T18:01:10.587417,BP_TelemetryFPS4Character_C_0,-18.56,85.18,-2376.26,83.88,248.38,1
126,2025-07-08T18:01:10.788435,BP_TelemetryFPS4Character_C_0,-14.98,94.78,-2409.42,131.73,246.44,1
127,2025-07-08T18:01:10.988968,BP_TelemetryFPS4Character_C_0,-15.6,94.78,-2408.6,121.85,246.77,1
128,2025-07-08T18:01:11.189646,BP_TelemetryFPS4Character_C_0,-16.28,94.63,-2407.81,111.97,247.13,1
129,2025-07-08T18:01:11.389691,BP_TelemetryFPS4Character_C_0,-17.01,94.32,-2407.11,102.11,247.53,1
130,2025-07-08T18:01:11.623836,BP_TelemetryFPS4Character_C_0,-17.81,93.83,-2406.5,92.27,247.97,1
131,2025-07-08T18:01:11.824356,BP_TelemetryFPS4Character_C_0,-11.97,95.92,-2425.94,192.85,244.91,1
132,2025-07-08T18:01:12.025712,BP_TelemetryFPS4Character_C_0,-12.37,95.37,-2425.08,182.92,245.11,1
133,2025-07-08T18:01:12.260827,BP_TelemetryFPS4Character_C_0,-12.8,94.67,-2424.35,172.97,245.32,1
134,2025-07-08T18:01:12.461862,BP_TelemetryFPS4Character_C_0,-13.25,93.83,-2423.79,163.02,245.55,1
135,2025-07-08T18:01:12.695752,BP_TelemetryFPS4Character_C_0,-13.73,92.84,-2423.42,153.07,245.79,1
136,2025-07-08T18:01:12.897418,BP_TelemetryFPS4Character_C_0,-9.24,98.21,-2470.11,280.46,243.63,1
137,2025-07-08T18:01:13.099445,BP_TelemetryFPS4Character_C_0,-9.48,97.36,-2468.94,270.54,243.74,1
138,2025-07-08T18:01:13.334512,BP_TelemetryFPS4Character_C_0,-9.73,96.4,-2467.95,260.59,243.85,1
139,2025-07-08T18:01:13.502621,BP_TelemetryFPS4Character_C_0,-10,95.32,-2467.16,250.62,243.97,1
140,2025-07-08T18:01:13.705639,BP_TelemetryFPS4Character_C_0,-11.35,94.21,-2466.57,240.7,244.61,1
141,2025-07-08T18:01:13.907543,BP_TelemetryFPS4Character_C_0,-9.5,94.61,-2484.49,349.01,243.74,1
142,2025-07-08T18:01:14.111922,BP_TelemetryFPS4Character_C_0,-10.48,93.73,-2483.95,339.05,244.2,1
143,2025-07-08T18:01:14.311091,BP_TelemetryFPS4Character_C_0,-11.46,92.84,-2483.57,329.1,244.66,1
144,2025-07-08T18:01:14.545592,BP_TelemetryFPS4Character_C_0,-12.43,91.92,-2483.36,319.16,245.14,1
145,2025-07-08T18:01:14.746709,BP_TelemetryFPS4Character_C_0,-13.41,90.98,-2483.3,309.24,245.63,1
146,2025-07-08T18:01:14.980077,BP_TelemetryFPS4Character_C_0,-12.32,96,-2532.37,368.65,245.08,1
147,2025-07-08T18:01:15.181145,BP_TelemetryFPS4Character_C_0,-13.14,95.15,-2531.59,358.74,245.49,1
148,2025-07-08T18:01:15.381804,BP_TelemetryFPS4Character_C_0,-13.95,94.28,-2530.95,348.83,245.9,1
149,2025-07-08T18:01:15.584565,BP_TelemetryFPS4Character_C_0,-14.75,93.4,-2530.48,338.93,246.32,1
150,2025-07-08T18:01:15.785827,BP_TelemetryFPS4Character_C_0,-15.55,92.48,-2530.15,328.98,246.74,1
151,2025-07-08T18:01:15.986731,BP_TelemetryFPS4Character_C_0,-12.46,95.25,-2570.33,459.8,245.15,1
152,2025-07-08T18:01:16.221886,BP_TelemetryFPS4Character_C_0,-13.02,94.54,-2569.63,449.84,245.43,1
153,2025-07-08T18:01:16.421161,BP_TelemetryFPS4Character_C_0,-13.56,93.8,-2569.07,439.91,245.7,1
154,2025-07-08T18:01:16.621717,BP_TelemetryFPS4Character_C_0,-14.09,93.06,-2568.63,429.97,245.98,1
155,2025-07-08T18:01:16.824244,BP_TelemetryFPS4Character_C_0,-14.61,92.29,-2568.32,420.02,246.24,1
